!   Filename:    dtw007s.dgn
!   Date:        04/03/2020  4:35:04 PM
!   9900    42 12 47.0000  083 22 45.0000
!   9901    00 00 00.0000  083 22 45.0000
!   9902    43 12 47.0000  000 00 00.0000
!   9903    41 12 47.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 41 39 43.5280  082 15 38.4438  !
GP 41 41 05.2034  082 14 27.6513  !
GP 41 42 28.2723  082 13 19.7814  !
GP 41 43 52.6753  082 12 14.8857  !
GP 41 45 18.3521  082 11 13.0138  !
GP 41 46 45.2415  082 10 14.2133  !
GP 41 48 13.2812  082 09 18.5297  !
GP 41 49 42.4080  082 08 26.0064  !
GP 41 51 12.5580  082 07 36.6848  !
GP 41 52 43.6665  082 06 50.6041  !
GP 41 54 15.6678  082 06 07.8012  !
GP 41 55 48.4957  082 05 28.3108  !
GP 41 57 22.0833  082 04 52.1654  !
GP 41 58 56.3631  082 04 19.3951  !
GP 42 00 31.2668  082 03 50.0278  !
GP 42 02 06.7257  082 03 24.0890  !
GP 42 03 42.6709  082 03 01.6015  !
GP 42 05 19.0326  082 02 42.5862  !
GP 42 06 55.7408  082 02 27.0611  !
GP 42 08 32.7253  082 02 15.0419  !
GP 42 10 09.9154  082 02 06.5419  !
GP 42 11 47.2403  082 02 01.5717  !
GP 42 12 18.6895  082 02 00.7220  !
LINE !
GP 43 12 48.0629  083 22 45.0000  !
GP 43 16 48.1112  083 22 45.0000  !
LINE !
GP 43 16 15.0231  081 55 09.4075  !
GP 43 16 15.0231  084 50 20.5924  !
LINE !
GP 41 08 13.8097  081 58 02.7425  !
GP 43 16 15.0231  081 55 09.4075  !
LINE !
GP 41 08 13.8097  081 58 02.7425  !
GP 41 08 13.8097  084 47 27.2575  !
LINE !
GP 41 08 13.8097  084 47 27.2575  !
GP 43 16 15.0231  084 50 20.5924  !
LINE !
GP 41 10 47.8203  084 39 29.4140  !
GP 41 11 53.6758  084 39 30.7041  !
LINE !
GP 41 11 07.5686  083 59 45.4838  !
GP 41 10 43.1879  084 46 06.6891  !
LINE !
GP 41 10 43.1879  084 46 06.6891  !
GP 41 11 49.0413  084 46 08.0904  !
LINE !
GP 41 10 52.0696  084 32 52.1191  !
GP 41 11 57.9271  084 32 53.2979  !
